               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041747,            0.018344,           0.0083123,             0.95946,             0.98663,             0.99247,             0.56082,            0.012294,           0.0064811,          0.00093226,           0.0033245,           0.0033245,            0.070079
                   1,            0.030073,            0.010886,           0.0017415,             0.99888,                   1,             0.99534,             0.78002,           0.0085642,           0.0054698,          0.00075493,           0.0065275,           0.0065275,            0.039949
                   2,            0.025453,           0.0097438,           0.0013661,             0.93827,             0.91545,             0.97736,             0.76589,           0.0075743,           0.0072816,          0.00064875,           0.0092279,           0.0092279,           0.0093159
                   3,            0.022569,           0.0094502,           0.0010172,             0.99977,                   1,             0.99602,              0.8517,           0.0055177,            0.004775,          0.00045925,           0.0083511,           0.0083511,           0.0083511
                   4,            0.019473,           0.0088428,          0.00086461,             0.99988,                   1,             0.99568,             0.82394,            0.005617,           0.0048773,          0.00029507,           0.0083511,           0.0083511,           0.0083511
                   5,            0.018723,           0.0085719,          0.00070379,             0.99983,              0.9999,             0.99602,             0.84287,           0.0055044,           0.0049032,          0.00020515,           0.0072361,           0.0072361,           0.0072361
                   6,             0.01708,           0.0082026,          0.00053979,             0.99623,             0.99651,               0.996,             0.84651,           0.0052692,           0.0051907,          0.00019764,               0.006,               0.006,               0.006
                   7,            0.016536,           0.0085357,          0.00081878,             0.99987,                   1,             0.99638,              0.8772,           0.0044203,           0.0042416,          0.00019089,           0.0047639,           0.0047639,           0.0047639
                   8,            0.015343,           0.0078145,          0.00031224,             0.99996,                   1,              0.9971,             0.89555,           0.0037651,           0.0039529,           0.0001287,           0.0036489,           0.0036489,           0.0036489
                   9,            0.014075,           0.0074683,          0.00022821,             0.99993,                   1,             0.99716,             0.90621,            0.003593,            0.003774,           0.0001035,           0.0027639,           0.0027639,           0.0027639
